Station_Name_Korean,Station_Name_English,Station_Code,Managing_Organization,Major_Basin_Code,Subbasin_Code,Observation_Start_Date,River_Name,Basin_Area,River_Width,Bed_Slope,River_Main_Junction_Distance,Watershed_Distance,Address,X_Coordinate,Y_Coordinate,Start_Systematic_Observation,End_Systematic_Observation,Start_Old_Observation,End_Old_Observation,Number_of_Records,Data_Quality_or_Completeness,Geometry,Longitude,Latitude
춘천시(소양2교),Chuncheonsi(Soyang2gyo),1013637,환경부,한강,101302,5388,북한강,7887,isnull,isnull,78.32,0,강원도 춘천시 근화동 소양2교,263551,488376,192507,202301,191410,202301,1789.0,,POINT (263551 488376),127.72041076025434,37.89580923641175
춘천시(강촌교),Chuncheonsi(Gangchongyo),1013645,환경부,한강,101304,33848,북한강,7844.9,isnull,isnull,64.3,0,강원도 춘천시 남산면 강촌리 강촌교,255790,479933,199206,202301,199210,202301,3652.0,ㅇ,POINT (255790 479933),127.63152999052906,37.82025512975792
가평군(가평교),Gapyeonggun(Gapyeonggyo),1013655,환경부,한강,101306,5480,가평천,305.12,140,isnull,1.15,39.2,경기도 가평군 가평읍 읍내리 가평교,245606,481411,192307,202301,191501,202301,3186.0,,POINT (245606 481411),127.51596301999848,37.83413524408213
홍천군(용선교),Hongcheongun(Yongsungyo),1014620,환경부,한강,101402,40113,내촌천,327.5,isnull,isnull,10.16,isnull,강원도 홍천군 내촌면 답풍리 용선교,293804,479816,200910,202301,200910,202301,3068.0,,POINT (293804 479816),128.0632041099055,37.81609070109272
홍천군(주음치교),Hongcheongun(Jueumchigyo),1014630,환경부,한강,101404,32509,홍천강,523.2,isnull,isnull,82.85,0,강원도 홍천군 화촌면 주음치리 주음치교,286622,476530,198903,202301,198901,202301,3111.0,,POINT (286622 476530),127.98125915326683,37.78719859298678
홍천강(성포교),isnull,1014635,한국수력원자력,한강,101404,39438,isnull,isnull,isnull,isnull,isnull,isnull,강원도 홍천군 화촌면 성산리,285839,474178,201009,202301,201009,202301,672.0,,POINT (285839 474178),127.97209357533126,37.76608495249019
홍천군(굴운교),Hongcheongun(Gyulwungyo),1014640,환경부,한강,101406,39281,홍천강,724.89,isnull,isnull,72.72,isnull,강원도 홍천군 화촌면 굴운리 굴운교,282978,471405,200705,202301,200705,202301,3248.0,,POINT (282978 471405),127.93931148755026,37.74136842271403
홍천군(홍천교),Hongcheongun(Hongcheongyo),1014650,환경부,한강,101408,22828,홍천강,879.14,151,1340,64.26,78.5,강원도 홍천군 홍천읍 연봉리 홍천교,277522,465647,196507,202301,196211,202301,3209.0,,POINT (277522 465647),127.87680564871536,37.68997461968304
홍천군(남노일대교),Hongcheongun(Namnoildeagyo),1014665,환경부,한강,101410,42367,홍천강,1123.52,isnull,isnull,44.96,isnull,강원도 홍천군 남면 남노일리 남노일대교,267978,464237,201512,202301,201512,202301,1914.0,,POINT (267978 464237),127.76847843060293,37.67802815507829
홍천군(반곡교),Hongcheongun(Bangokgyo),1014680,환경부,한강,101412,30076,홍천강,1325.36,320,isnull,27.1,110,강원도 홍천군 서면 반곡리 반곡교,259141,466204,198206,202301,198401,202301,2387.0,,POINT (259141 466204),127.66847049568382,37.6963603104882
한덕교,isnull,1014695,한국수력원자력,한강,101413,39438,isnull,isnull,isnull,isnull,isnull,isnull,강원도 홍천군 서면 모곡리,254110,463796,200902,202301,200902,202301,672.0,,POINT (254110 463796),127.61125086494958,37.6749764004603
홍천군(모곡교),Hongcheongun(Mogokgyo),1014696,환경부,한강,101413,40891,중방대천,86.51,isnull,isnull,0.87,isnull,강원도 홍천군 서면 모곡리 모곡교,253375,463760,201112,202112,201112,202112,2762.0,,POINT (253375 463760),127.60291720341029,37.674695045697455
산장제1교,San Jang 1 Kyo,1015630,한국수력원자력,한강,101504,39443,조종천,212.2,isnull,isnull,7.13,isnull,경기도 가평군 상면 덕현리,236155,472886,201309,202301,201309,202301,406.0,,POINT (236155 472886),127.40818170594268,37.757753555759294
가평군(청평댐),Gapyeonggun(Cheongpyeongdam),1015640,환경부,한강,101502,27214,북한강,10028.57,isnull,isnull,29.99,isnull,경기도 가평군 설악면 회곡리 745-27,237297,469376,197507,202301,196701,202301,1912.0,,POINT (237297 469376),127.4209610663427,37.72608492139594
가평군(청평교),Gapyeonggun(Cheongpyeonggyo),1015644,환경부,한강,101504,39013,조종천,254.88,isnull,isnull,1.9,isnull,경기도 가평군 청평면 청평리 청평교,236533,470575,200612,202301,200611,202301,3094.0,,POINT (236533 470575),127.41235521716436,37.73691791304337
가평군(신청평대교),Gapyeonggun(Daeseongri),1015645,환경부,한강,101506,5115,북한강,10300.89,384,730,20.3,207.8,경기도 가평군 청평면 삼회리 산90 신청평대교,236173,468785,191709,202301,191411,202301,3325.0,,POINT (236173 468785),127.40818237300616,37.7208053392563
남양주시(삼봉리),Sambong,1015680,환경부,한강,101508,41277,북한강,709.14,isnull,isnull,9.32,isnull,경기도 남양주시 조안면 삼봉리 235-1,229953,455133,201301,202301,201301,202301,1573.0,,POINT (229953 455133),127.33707554865109,37.59803043431096
용인시(월촌교),Yonginsi(WolChongyo),1016607,환경부,한강,101601,41197,한강,149.1,isnull,isnull,23.54,isnull,경기도 용인시 처인구 모현면 갈담리 월촌교,221220,425941,201209,202301,201209,202301,3613.0,,POINT (221220 425941),127.23734911195515,37.33525379227672
광주시(경안교),Gwangjusi(Gyeongangyo),1016650,환경부,한강,101603,31048,경안천,256.91,179,isnull,12,0,경기도 광주시 쌍령동 경안교,223290,434178,198409,202301,198401,202301,3527.0,,POINT (223290 434178),127.26096533326572,37.40942046929118
경안교,Kyoung An Kyo,1016655,한국수력원자력,한강,101603,39443,경안천,257.9,isnull,isnull,17.34,isnull,경기도 광주시 오포읍 양벌리,222286,432603,201309,202301,201309,202301,406.0,,POINT (222286 432603),127.24957769637308,37.39525425534935
광주시(섬뜰교),Gwangjusi(Sumthlgyo),1016660,환경부,한강,101604,36586,곤지암천,138.36,isnull,isnull,3.03,0,경기도 광주시 초월읍 도평리 섬뜰교,225924,433353,200206,202301,200102,202301,3288.0,,POINT (225924 433353),127.29068778548604,37.40191745279336
광주시(서하교),Gwangjusi(Seohagyo),1016670,환경부,한강,101605,41639,경안천,472.29,isnull,isnull,7.71,isnull,경기도 광주시 초월읍 서하리 서하교,227290,436656,201312,202301,201312,202301,2405.0,,POINT (227290 436656),127.30623701710476,37.43163832541503
광주시(광동교),Gwangjusi(Gwangdonggyo),1016695,환경부,한강,101605,39013,경안천,551.39,isnull,isnull,3.32,isnull,경기도 광주시 퇴촌면 광동리 광동교,226022,441338,200612,202301,200612,202301,1720.0,,POINT (226022 441338),127.29207535912498,37.4738592877268
남양주시(팔당댐),Namyangjusi(Paldangdam),1017690,환경부,한강,101701,27214,한강,23800,isnull,isnull,86.6,isnull,경기도 남양주시 조안면 능내리 팔당댐,225045,447563,197507,202301,197401,202301,1921.0,,POINT (225045 447563),127.28124188701828,37.52997267455237
남양주시(팔당대교),Namyangjusi(Paldangdaegyo),1018610,환경부,한강,101801,34912,한강,23812.6,500,isnull,82.3,0,경기도 남양주시 와부읍 팔당리 팔당대교,221159,449834,199412,202301,199401,202301,3652.0,ㅇ,POINT (221159 449834),127.23734368429642,37.55053105535686
남양주시(부평교),Namyangjusi(Bupyeonggyo),1018620,환경부,한강,101802,37545,왕숙천,95.35,isnull,isnull,20.88,0,경기도 남양주시 진접읍 부평리 부평교,217334,471191,200210,202301,200210,202301,3405.0,,POINT (217334 471191),127.19456313469186,37.7430309930163
남양주시(연평대교),Namyangjusi(Yeonpyeongdaegyo),1018623,환경부,한강,101802,37545,진건천,25.62,isnull,isnull,0.6,0,경기도 남양주시 진접읍 연평리 연평대교,216068,467827,200210,202301,200210,202301,651.0,,POINT (216068 467827),127.18012552576648,37.71274572414659
남양주시(내곡교),Namyangjusi(Naegokgyo),1018625,환경부,한강,101802,37545,왕숙천,150.99,isnull,isnull,14.88,0,경기도 남양주시 진접읍 내각리 내곡교,214528,465790,200210,202301,200210,202301,3628.0,,POINT (214528 465790),127.16261983735556,37.694418681407534
남양주시(진관교),Namyangjusi(Jingwangyo),1018630,환경부,한강,101803,30773,왕숙천,202.2,160,isnull,7,0,경기도 남양주시 퇴계원면 퇴계원리 진관교,213409,461163,198407,202301,198601,202301,3472.0,,POINT (213409 461163),127.1498476753003,37.65274780818957
